"Maisema, Camille Corot'n mukaan",Ateneum,2011,Ateneumin ystävien kokoelma
Nimetön,Kiasma,1990,Porkkana r.y. - Morot r.f.
Saaristomänty,Kiasma,2003,Skopin kokoelma
Hotelli 5,Kiasma,2003,Skopin kokoelma
Sotilas miekkansa nojassa,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat
Sotilas miekkansa nojassa,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
nimetön,Ateneum,no date,Tuomo Sepon kokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
nimetön ; luonnos,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Asetelma,Ateneum,1922,Antellin kokoelmat
"Pyhä Mattheus, kirjoittaen",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
"Pyhä Mattheus, kirjoittaen",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
11 Av -23 St,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Nukkuva Amor,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Nukkuva Amor,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Kuolema,Kiasma,2003,Skopin kokoelma
Elle nro 5,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Turun tuomiokirkko,Ateneum,1936,Herman ja Elisabeth Hallonbladin kokoelma
Hummeri,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Vedestä kurottuva nainen,Kiasma,2003,Skopin kokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Masekelan konsertti,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Uimahuone,Ateneum,1931,Ahlströmin kokoelma
Keittiössä. Etualalla orresta riippuva teuraseläin sekä vihanneksia.,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Keittiössä. Etualalla orresta riippuva teuraseläin sekä vihanneksia.,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Kohtaus tanssiaisissa,Ateneum,1941,Rudolf ja Emilie Geselliuksen testamenttikokoelma
Valaistut ikkunat,Ateneum,2013,Rolando ja Siv Pieraccinin kokoelma
Talonpoikaistalo,Ateneum,1941,Arvid Souranderin lahja
Harjoitelma alastomaan naisen kokovartalokuvaan,Ateneum,1925,Antellin kokoelmat
nimetön ; luonnos,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Työpöytä,Kiasma,2003,Skopin kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Paluu kuvitelmiin,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Sammon ryöstö,Ateneum,1995,Suomen Säästöpankki Oy:n taidekokoelma
Auringonpaisteessa,Ateneum,1917,Antellin kokoelmat
Alkemisti,Sinebrychoffin taidemuseo,1881,Göhlen kokoelma
Sakari Topeliuksen rintakuva,Ateneum,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
Sakari Topeliuksen rintakuva,Ateneum,1919,Antellin kokoelmat
Taiteilijan poika Titus,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Taiteilijan poika Titus,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Sommitelma,Ateneum,1998,Viiva ja väri -ryhmän arkistokokoelma
Kuusi,Ateneum,no date,Tuomo Sepon kokoelma
Markkinat,Ateneum,1919,Antellin kokoelmat
Lumpeita,Ateneum,1936,Herman ja Elisabeth Hallonbladin kokoelma
Hevonen virtsaa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Hevonen virtsaa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Portti,Ateneum,1985,Edvard Richterin ja Mandi Karnakoski-Richterin testamenttikokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Tuntematon,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Tuntematon,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Maisema Scheldeltä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Maisema Scheldeltä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Mies ja ideoita,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Henrietta Lotringilainen,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Henrietta Lotringilainen,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Piirros,Kiasma,2013,Markus Heikkerön kokoelma
Kesäilta,Ateneum,1912,Antellin kokoelmat
nimetön muotokuva,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Antibes,Ateneum,1917,Antellin kokoelmat
Dominique de Ligny,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Dominique de Ligny,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
no title,Ateneum,1998,Utagawaha Monjinkai Societyn lahjoituskokoelma
Omakuva,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Hindulaistyttö,Ateneum,1939,Hovingin kokoelma
"Piirustus ""Luonnon kirjaan""",Ateneum,1917,Aspelin-Haapkylän kokoelma
Aakkoset,Kiasma,2003,Skopin kokoelma
Kukkiva hedelmäpuu,Ateneum,1945,August ja Lydia Keirknerin taidekokoelma
Bataille de la Marne episode de Courtacon,Ateneum,1920,Hjalmar Linderin lahjoituskokoelma
Kuningatar Lovisa Ulrika,Sinebrychoffin taidemuseo,1921,Paul ja Fanny Sinebrychoffin taidekokoelma
Taidenäyttelyssä,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Ranskalainen kylä,Ateneum,1901,Antellin kokoelmat
Näyttelijät Kataoka Nizaemon VIII ja Kakunosuke näytelmässä Tokaido Yotsuya kaidan (Yotsuyan kummitustarina),Ateneum,1908,Antellin kokoelmat
Kaksi koiraa (2.),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Kaksi koiraa (2.),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Parfyymipullo,Sinebrychoffin taidemuseo,1921,Paul ja Fanny Sinebrychoffin taidekokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
De swarte Beer. Kolmimastoalus.,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
De swarte Beer. Kolmimastoalus.,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Taiteen hullujen demonien ajama maalari,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Les grandes miseres de la guerre,Sinebrychoffin taidemuseo,1923,Antellin kokoelmat
Maisema lehmineen,Ateneum,1921,Herman ja Elisabeth Hallonbladin kokoelma
Pierre Grassin,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat
Pierre Grassin,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
Rastas ja käpy,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
C. A. Scaglia,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
C. A. Scaglia,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön ; luonnos,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
nimetön ; julisteluonnos,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Sommitelma,Kiasma,2003,Skopin kokoelma
"Taiteilijan serkut, Arttu ja Jussi Halonen",Ateneum,1945,August ja Lydia Keirknerin taidekokoelma
Omakuva,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Pihan kulma,Ateneum,1985,Edvard Richterin ja Mandi Karnakoski-Richterin testamenttikokoelma
Sinappilusikka,Sinebrychoffin taidemuseo,no date,Beatrice Granbergin kokoelma
L'amour à l'épreuve,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
L'amour à l'épreuve,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat
Nauravan miehen pää (Paysan en bonnet fourré´),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Nauravan miehen pää (Paysan en bonnet fourré´),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Maestrichtin piiritys,Sinebrychoffin taidemuseo,1917,Aspelin-Haapkylän kokoelma
Trubaduuri (kuva I),Ateneum,2008,Rolando ja Siv Pieraccinin kokoelma
Seksuaalinen ja ammatillinen kateus (Tennyson),Kiasma,1998,Kouri-kokoelma
Exlibris Guido Simberg III,Ateneum,1999,Eino Mikkolan exlibris-kokoelmat
Genjin tarinasta. Shunsoku niwa-asobi,Ateneum,1998,Utagawaha Monjinkai Societyn lahjoituskokoelma
Belle Lorraine (juliste),Ateneum,1920,Hjalmar Linderin lahjoituskokoelma
Keskeytynyt peli,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Keskeytynyt peli,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Gerard Doun äiti lankaa vyyhtimässä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Gerard Doun äiti lankaa vyyhtimässä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Ludvig XV,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Ludvig XV,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Morsiamen valmistaminen häävuoteeseen,Sinebrychoffin taidemuseo,1893,Antellin kokoelmat
Morsiamen valmistaminen häävuoteeseen,Sinebrychoffin taidemuseo,1893,H. F. Antellin testamenttikokoelma
Asetelma,Ateneum,1998,Viiva ja väri -ryhmän arkistokokoelma
Lukeva tyttö,Ateneum,1910,Antellin kokoelmat
no title,Sinebrychoffin taidemuseo,1919,Hjalmar Linderin lahjoituskokoelma
"Pääsiäismuna, venäläinen",Sinebrychoffin taidemuseo,2007,Susanne Lindgrénin lahjoituskokoelma
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903,Antellin kokoelmat
Ratsastaja (Hevoset),Ateneum,1998,Viiva ja väri -ryhmän arkistokokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Nizzan vihannestori (Vanha tori),Ateneum,1885,Hovingin kokoelma
Journée Nationale des orphelins (juliste),Ateneum,1920,Hjalmar Linderin lahjoituskokoelma
Riutunut kuusenrunko,Ateneum,2014,Rolando ja Siv Pieraccinin kokoelma
?,Sinebrychoffin taidemuseo,1926,Ahlströmin kokoelma
Hommage,Kiasma,2003,Skopin kokoelma
Mandoliinin soittaja,Ateneum,1945,August ja Lydia Keirknerin taidekokoelma
Sommitelma,Ateneum,1998,Viiva ja väri -ryhmän arkistokokoelma
"Pääsiäismuna, venäläinen",Sinebrychoffin taidemuseo,2007,Susanne Lindgrénin lahjoituskokoelma
Vedeltä pelastettu Mooses,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Äiti,Ateneum,2011,Mukka
Pöytä,Ateneum,no date,Tuomo Sepon kokoelma
Meri ja purjelaivoja,Ateneum,2003,Holger ja Anita Sprangerin testamenttikokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
"Fredrik II, Preussin kuningas",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
"Fredrik II, Preussin kuningas",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Seuranpitoa,Sinebrychoffin taidemuseo,1941,Rudolf ja Emilie Geselliuksen testamenttikokoelma
Nimetön,Kiasma,1990,Porkkana r.y. - Morot r.f.
Omakuva,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Ihmissusi,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
?,Sinebrychoffin taidemuseo,1926,Ahlströmin kokoelma
"luonnoslehtiö, luonnos mm. Nälkä-sarjakuvaan ja alastontutkielma sekä luonnos kahvipannupäisiin ihmisiin",Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Exlibris Axel Gallén,Ateneum,1999,Eino Mikkolan exlibris-kokoelmat
Naiskuva kolmen keisarikunnan ajalta,Ateneum,1919,Antellin kokoelmat
Naiskuva kolmen keisarikunnan ajalta,Ateneum,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
Grande Passion,Sinebrychoffin taidemuseo,1923,Antellin kokoelmat
Kaksi pässiä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Kaksi pässiä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Drömlandskap,Ateneum,2003,Beatrice Granbergin kokoelma
Miehen muotokuva,Sinebrychoffin taidemuseo,1921,Paul ja Fanny Sinebrychoffin taidekokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Kallioita,Ateneum,2008,Rolando ja Siv Pieraccinin kokoelma
3-vektorimallipostikortti,Kiasma,1990,Porkkana r.y. - Morot r.f.
Mysteerikylpijät,Ateneum,2008,Rolando ja Siv Pieraccinin kokoelma
Cap.(o) Spessa Monti - Bagattino / Balli di Sfessania -sarja,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Cap.(o) Spessa Monti - Bagattino / Balli di Sfessania -sarja,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Seitsemän veljeksen kuvitusta,Ateneum,1934,Ahlströmin kokoelma
Nimetön,Ateneum,no date,Tuomo Sepon kokoelma
"luonnoslehtiö, mm. sarjakuvaluonnos ""Geisha""",Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Omakuva,Ateneum,2011,Mukka
Vuohi ja kaksi lammasta,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Vuohi ja kaksi lammasta,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Italiasta,Ateneum,1939,Hovingin kokoelma
"26 opetusmallia, ihmisten päitä ja jäseniä, sidottu vihkoksi",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
"26 opetusmallia, ihmisten päitä ja jäseniä, sidottu vihkoksi",Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Jeesus ja samarialainen nainen raunioiden keskellä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Jeesus ja samarialainen nainen raunioiden keskellä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
"Enkeli, kopio Leonardo da Vincin Marian ilmestys-maalauksen mukaan, osa",Ateneum,1895,Valtion kopiokokoelma
Surimono,Ateneum,1998,Utagawaha Monjinkai Societyn lahjoituskokoelma
Kuormahevosia,Ateneum,1998,Erkki Ryhäsen kokoelma
nimetön,Ateneum,no date,Tuomo Sepon kokoelma
Puisto,Kiasma,2003,Skopin kokoelma
Neljä perunaa,Ateneum,no date,Tuomo Sepon kokoelma
"Paskamies - kunnianosoitus Archimboldolle, koprofaginen sommitelma",Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903,Antellin kokoelmat
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903,Antellin kokoelmat
"Sampoa taotaan, kuvitusta Kalevalaan",Ateneum,1917,Aspelin-Haapkylän kokoelma
luonnos ; nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Varjo,Kiasma,2003,Skopin kokoelma
Lepohetki,Ateneum,1905,Antellin kokoelmat
"luonnos, tillinkukintoja",Ateneum,no date,Tuomo Sepon kokoelma
Yömaisema,Kiasma,2013,Markus Heikkerön kokoelma
