Yökuvia,Kiasma,1988
Improvisaatio,Ateneum,1975
Pariisilaispoika,Ateneum,1937
Kompositio II,Ateneum,1991
"Satukohtaus, nuori mies, haltijoita ja kaksi pientä lasta maisemassa",Ateneum,1989
Exlibris Oskar Rewell I,Ateneum,1987
Sisäkuva,Kiasma,1999
Sapaholmeliumäe viils,Kiasma,1991
Objekti-Miiri,Kiasma,2004
"Kuvitusta kirjaan Finska Folksagor, Berättade af Rafaël Hertzberg, satu Den Underbara björken, luonnos sivun 79 kuvitukseen",Ateneum,2011
10 valokuvan sarja,Ateneum,1994
Rantamaisema,Ateneum,1953
Otto kuolinvuoteellaan,Ateneum,1987
Täti,Ateneum,1987
El Torero (Corrida),Ateneum,1998
Henricus Steenwyck,Sinebrychoffin taidemuseo,1900
Helteellä,Ateneum,2006
Lähtö,Kiasma,2013
Istuva alaston,Ateneum,1989
"Maisema, Camille Corot'n mukaan",Ateneum,2011
Nimetön,Kiasma,1990
Saaristomänty,Kiasma,2003
Hotelli 5,Kiasma,2003
Maalaus 1966,Ateneum,1985
Croquis -piirustus,Ateneum,1951
Rupusiha,Ateneum,1960
Sotilas miekkansa nojassa,Sinebrychoffin taidemuseo,1919
Sureva mies,Ateneum,1972
Pinocchio,Ateneum,1964
nimetön (maisema),Kiasma,1999
nimetön ; luonnos,Kiasma,1999
Asetelma,Ateneum,1922
"Pyhä Mattheus, kirjoittaen",Sinebrychoffin taidemuseo,1900
Istuva nainen,Ateneum,1938
11 Av -23 St,Kiasma,1999
Järvimaisema Sappeesta,Ateneum,1907
Nukkuva Amor,Sinebrychoffin taidemuseo,1900
nimetön,Kiasma,1999
Kiinteä aika,Ateneum,1970
Istuva alaston sivusta ja rantapallo,Ateneum,1989
Kuolema,Kiasma,2003
Turun tuomiokirkko,Ateneum,1936
Vedestä kurottuva nainen,Kiasma,2003
Luonnoskirja,Ateneum,1944
nimetön (maisema),Kiasma,1999
Kruununhaasta,Ateneum,1987
Masekelan konsertti,Kiasma,1999
Uimahuone,Ateneum,1931
Keittiössä. Etualalla orresta riippuva teuraseläin sekä vihanneksia.,Sinebrychoffin taidemuseo,1900
Vajoava,Ateneum,1969
Kohtaus tanssiaisissa,Ateneum,1941
Aino Sibeliuksen muotokuva,Ateneum,1989
Miehen pää (savuke suussa),Ateneum,1926
Sommitelma,Ateneum,1962
Valaistut ikkunat,Ateneum,2013
"Maisema, jonka keskellä on kirkko",Ateneum,1873
Lempipaikka,Kiasma,2006
Talonpoikaistalo,Ateneum,1941
Malliharjoitelma,Ateneum,1983
Ex Libris Mirjam Kinos,Ateneum,2002
Nimetön,Kiasma,2014
Harjoitelma alastomaan naisen kokovartalokuvaan,Ateneum,1925
nimetön ; luonnos,Kiasma,1999
Työpöytä,Kiasma,2003
nimetön,Kiasma,1999
Ex Libris Kaarle Makkonen,Ateneum,2002
no title,Ateneum,2015
Koivu ja pilvi,Ateneum,1965
Rauniomaisema,Sinebrychoffin taidemuseo,1998
Sammon ryöstö,Ateneum,1995
Auringonpaisteessa,Ateneum,1917
Alkemisti,Sinebrychoffin taidemuseo,1881
Pelon palkka,Kiasma,1990
Luonnoskirja,Ateneum,1922
Sakari Topeliuksen rintakuva,Ateneum,1919
Taiteilijan poika Titus,Sinebrychoffin taidemuseo,1900
Kajastus II,Kiasma,1995
Sommitelma,Ateneum,1998
Valaankeittämössä,Ateneum,1948
Markkinat,Ateneum,1919
Puku,Kiasma,1994
sarjasta Metro Ars,Kiasma,2000
Lumpeita,Ateneum,1936
Hevonen virtsaa,Sinebrychoffin taidemuseo,1900
"Ichikawa Ebijuro IV, roolihenkilö Matsugacya Gorobei, sarjasta Goyo meigi no uchi",Ateneum,1994
Portti,Ateneum,1985
Omakuva,Ateneum,1943
Knallipäinen mies,Ateneum,1987
Alaston seisova naismalli,Ateneum,1916
nimetön,Kiasma,1999
